userId,num_movies,num_transitions,num_drift_points,mean_kl,std_kl,threshold,drift_rate
414,2698,2697,627,4.08776864470902,2.3242743897661793,6.412043034475199,0.2325
474,2108,2107,542,4.319904130207206,2.4580340930049536,6.77793822321216,0.2572
448,1864,1863,407,4.217439798092011,2.3356769261480808,6.553116724240091,0.2185
599,2478,2477,396,4.578323037598667,2.314216483973671,6.892539521572338,0.1599
380,1218,1217,286,4.741078520728166,2.0199742041221795,6.761052724850346,0.235
606,1115,1114,251,3.7355567213994423,2.4309658708452857,6.166522592244728,0.2253
274,1346,1345,230,4.780936847132997,2.186159775394461,6.967096622527459,0.171
288,1055,1054,229,3.742198244872556,2.251279203974663,5.993477448847219,0.2173
68,1260,1259,225,4.761610352333428,2.2086848157164205,6.970295168049849,0.1787
610,1302,1301,221,3.4827791494744695,2.140088757715748,5.6228679071902175,0.1699
249,1046,1045,217,4.349116581085396,2.279469740039789,6.628586321125185,0.2077
603,943,942,216,3.6023560641786467,2.4326804982244403,6.0350365624030875,0.2293
298,939,938,210,3.788032294178378,2.339109365239916,6.127141659418294,0.2239
182,977,976,196,3.458362078640697,2.2791657656328415,5.737527844273538,0.2008
232,862,861,192,4.605426582611663,2.2024238553494024,6.807850437961066,0.223
387,1027,1026,181,4.740120337393284,2.2606780457855185,7.000798383178802,0.1764
480,836,835,180,4.545073561601754,2.265350704415649,6.810424266017403,0.2156
600,763,762,177,4.598697970755149,2.2311820673377487,6.829880038092897,0.2323
483,728,727,167,4.759782586325888,2.075687023375518,6.835469609701406,0.2297
590,728,727,166,4.6404685971565565,2.1722162361968245,6.812684833353381,0.2283
307,975,974,154,4.529404368118533,2.4367410275960086,6.966145395714542,0.1581
105,722,721,153,4.48648144715309,2.308592693233272,6.795074140386362,0.2122
489,648,647,152,4.726887168944816,2.0797017704126617,6.806588939357478,0.2349
305,677,676,150,4.64626248706978,2.0995311460198014,6.745793633089582,0.2219
555,578,577,146,4.077785920785116,2.3775328969560827,6.455318817741199,0.253
177,904,903,145,4.869117183432844,2.0803460324900245,6.949463215922869,0.1606
318,879,878,144,4.600930065264704,2.33270380378094,6.933633869045644,0.164
438,635,634,140,3.9627679375319627,2.213495985114338,6.176263922646301,0.2208
111,646,645,137,3.5801941478021924,2.453670480404469,6.033864628206661,0.2124
140,608,607,135,4.392635122505041,2.2584079946952,6.651043117200241,0.2224
608,831,830,125,4.7465698374249135,2.157088346845114,6.903658184270027,0.1506
18,502,501,119,4.443684684623702,2.2904110338109853,6.734095718434688,0.2375
28,570,569,115,3.662085124148541,2.2229727708398688,5.88505789498841,0.2021
534,520,519,110,4.209404655330161,2.123414219151571,6.332818874481732,0.2119
525,500,499,109,3.8936439831857395,2.2762101100850223,6.169854093270762,0.2184
561,505,504,106,4.510880481435611,2.068068524215489,6.5789490056511,0.2103
381,474,473,99,4.574028986508581,2.096126544334514,6.670155530843095,0.2093
477,600,599,99,4.70903776946782,2.226519582263898,6.935557351731718,0.1653
156,398,397,98,3.733835492957115,2.3606629219651283,6.094498414922244,0.2469
226,507,506,97,4.6991530714588965,2.2674363391681456,6.9665894106270425,0.1917
21,443,442,97,3.8244968488610964,2.251109106487641,6.075605955348737,0.2195
91,575,574,97,4.804712727940246,2.1241628318063257,6.928875559746572,0.169
292,446,445,95,4.408294026079411,2.1582962669932826,6.566590293072694,0.2135
509,467,466,93,4.29883893071289,2.177450951352321,6.476289882065211,0.1996
45,399,398,92,3.8477291642596883,2.3122794999904106,6.160008664250099,0.2312
596,411,410,91,4.384876293649058,2.19916354216997,6.584039835819028,0.222
219,528,527,89,4.806798389887541,2.0789066147968973,6.8857050046844375,0.1689
580,436,435,89,3.970686288282871,2.1591372128073214,6.1298235010901925,0.2046
391,386,385,88,3.944323713516391,2.3050613412777885,6.24938505479418,0.2286
567,385,384,87,4.270104592080977,2.3181279484872737,6.588232540568251,0.2266
64,517,516,84,4.827100158532152,2.1530331145339883,6.98013327306614,0.1628
357,383,382,83,3.454851292227118,2.457438197997103,5.912289490224222,0.2173
275,403,402,83,3.799355257146584,2.4014628671717855,6.200818124318369,0.2065
132,347,346,82,4.4001880814177,2.1892876158277432,6.589475697245444,0.237
42,440,439,82,4.637157091087716,2.391438103964078,7.028595195051794,0.1868
597,443,442,81,3.5105471575368608,2.178064820979319,5.68861197851618,0.1833
160,437,436,81,3.7416336653870212,2.1234436907304026,5.865077356117424,0.1858
469,465,464,79,3.4146951340855667,2.054815637278535,5.469510771364101,0.1703
57,476,475,78,3.528410153516097,2.0793704428256206,5.607780596341717,0.1642
339,371,370,78,3.840615345913545,2.213916574371414,6.054531920284959,0.2108
199,363,362,77,4.024325606047801,2.291845696066379,6.3161713021141805,0.2127
560,458,457,77,4.799962955261443,2.1255403469866527,6.925503302248096,0.1685
462,455,454,77,4.462180545252591,2.467796192574614,6.929976737827205,0.1696
125,360,359,77,4.397242723555045,2.2232956698349917,6.620538393390037,0.2145
517,400,399,76,3.91448571057658,2.101314997924658,6.015800708501238,0.1905
368,469,468,76,3.6314185995352704,1.9542887051225581,5.585707304657829,0.1624
425,306,305,75,4.694809417447456,2.1147979213131842,6.809607338760641,0.2459
62,366,365,73,4.4482410096535885,2.2347104543567227,6.682951464010311,0.2
104,273,272,71,4.081791143692137,2.3496270517015625,6.4314181953937,0.261
217,613,612,69,3.1580605033363387,1.921112064057148,5.079172567393487,0.1127
122,292,291,69,4.549780773884417,2.189238775583602,6.7390195494680185,0.2371
365,277,276,67,4.088270445478187,2.3640425290338256,6.452312974512013,0.2428
19,703,702,67,3.0049488213704616,1.8962449672648687,4.9011937886353305,0.0954
514,397,396,66,4.589747762074522,2.377604227856139,6.967351989930661,0.1667
573,299,298,65,4.28818382719182,2.165292038422569,6.453475865614389,0.2181
382,291,290,64,3.4292827078334,2.338354094207975,5.767636802041375,0.2207
103,377,376,62,4.701253877615203,2.1954733163721447,6.896727193987347,0.1649
352,294,293,60,4.644066899472414,1.9797996016939496,6.623866501166364,0.2048
495,265,264,60,4.384408918540333,2.3027284232440173,6.68713734178435,0.2273
51,359,358,60,4.828599027674989,2.2041349357912603,7.032733963466249,0.1676
187,258,257,59,4.819039795684529,1.9728578855347787,6.791897681219307,0.2296
222,250,249,59,4.016360645356702,2.378269603399596,6.3946302487562985,0.2369
89,518,517,58,3.235511874206527,1.9627145597272442,5.198226433933771,0.1122
453,311,310,58,3.851362438320659,2.1263448914123213,5.97770732973298,0.1871
484,275,274,57,4.192641620266647,2.5653346655967564,6.757976285863403,0.208
239,279,278,57,4.365857358290873,2.131314664379529,6.4971720226704015,0.205
282,237,236,56,4.601611482634168,2.209858600646774,6.811470083280943,0.2373
200,334,333,54,4.634631295907638,2.2762865115317377,6.910917807439375,0.1622
356,289,288,54,3.58999980089435,2.1318793675551766,5.721879168449527,0.1875
562,231,230,54,4.018778628059462,2.342454442576933,6.361233070636395,0.2348
66,345,344,54,4.68530521861235,2.2728311079310624,6.958136326543412,0.157
221,331,330,53,4.528746180286624,2.4054124492176165,6.934158629504241,0.1606
212,248,247,53,4.384612677462199,2.221972515054804,6.606585192517003,0.2146
198,230,229,52,3.823787196853213,2.2492296896401416,6.073016886493354,0.2271
63,271,270,52,4.922068196390021,2.135473660065403,7.057541856455424,0.1926
432,260,259,52,4.195607897548666,2.178781894718513,6.374389792267179,0.2008
294,437,436,51,2.906970923748641,1.9478291382800517,4.854800062028692,0.117
332,267,266,51,4.193237191860714,2.0203444104445945,6.213581602305308,0.1917
169,269,268,51,4.067644682281824,2.404971371769674,6.472616054051498,0.1903
135,279,278,50,3.752572473557317,2.0813221844115812,5.833894657968898,0.1799
330,247,246,50,4.6658786997024455,2.1837458197215676,6.8496245194240135,0.2033
84,293,292,50,4.56043542721262,2.415375088257307,6.975810515469927,0.1712
41,217,216,50,4.362423806143501,2.258279892062065,6.620703698205566,0.2315
6,314,313,49,4.771022563072846,2.331858416962978,7.102880980035824,0.1565
434,233,232,49,4.658639678016017,2.0477823275520985,6.706422005568115,0.2112
82,227,226,47,4.019044818206214,2.1636421928509084,6.182687011057123,0.208
280,196,195,47,3.704472549235351,2.3906641646868914,6.095136713922242,0.241
195,187,186,46,4.420946954453943,2.2670146982685555,6.687961652722499,0.2473
428,300,299,46,4.631145933343258,2.264066148629351,6.895212081972609,0.1538
367,185,184,46,3.822630153952774,2.265277112940991,6.087907266893765,0.25
186,226,225,46,3.9546688359951983,2.020061879750969,5.974730715746167,0.2044
385,201,200,46,4.361991169875076,2.3361748525809305,6.698166022456007,0.23
586,208,207,45,4.096110106182498,2.1470858762266496,6.243195982409148,0.2174
73,210,209,45,3.9574842005048825,2.3779930018288438,6.335477202333726,0.2153
263,210,209,45,4.395160894913647,2.273242380202758,6.668403275116405,0.2153
246,204,203,45,3.6719563345306607,2.2340318024925203,5.905988137023181,0.2217
50,310,309,45,4.873694716932866,2.186310768974218,7.060005485907084,0.1456
522,200,199,45,4.183516860721899,2.369339679550378,6.552856540272277,0.2261
